下标	名字		地址	层数	种类	类型	值	参个数
185	tmp77		24	21	TTVAR	INT	0	0
186	tmp78		28	21	TTVAR	INT	0	0
187	tmp79		32	21	TTVAR	INT	0	0
188	tmp80		36	21	TTVAR	VOID	0	0
189	tmp81		40	21	TTVAR	INT	0	0
190	tmp82		44	21	TTVAR	VOID	0	0
191	tmp83		48	21	TTVAR	INT	0	0
192	tmp84		52	21	TTVAR	VOID	0	0
193	end1518_20		232	21	REEND	VOID	0	0
194	nestfunc		0	22	FUNC	INT	0	0
195	tmp85		4	22	TTVAR	INT	0	0
196	tmp86		8	22	TTVAR	INT	0	0
197	tmp87		12	22	TTVAR	INT	0	0
198	tmp88		16	22	TTVAR	INT	0	0
199	tmp89		20	22	TTVAR	INT	0	0
200	tmp90		24	22	TTVAR	INT	0	0
201	tmp91		28	22	TTVAR	INT	0	0
202	tmp92		32	22	TTVAR	INT	0	0
203	tmp93		36	22	TTVAR	INT	0	0
204	tmp94		40	22	TTVAR	INT	0	0
205	end1518_21		236	22	REEND	VOID	0	0
206	allchar2		0	23	FUNC	VOID	0	0
207	a		4	23	TCON	CHAR	97	0
208	b		8	23	TCON	CHAR	99	0
209	c		12	23	TVAR	CHAR	0	0
210	d		16	23	TVAR	CHAR	0	0
211	tmp95		20	23	TTVAR	INT	0	0
212	tmp96		24	23	TTVAR	INT	0	0
213	tmp97		28	23	TTVAR	VOID	0	0
214	tmp98		32	23	TTVAR	VOID	0	0
215	tmp99		36	23	TTVAR	VOID	0	0
216	tmp100		40	23	TTVAR	INT	0	0
217	tmp101		44	23	TTVAR	VOID	0	0
218	tmp102		48	23	TTVAR	INT	0	0
219	end1518_22		240	23	NOREEND	VOID	0	0
220	main		244	24	FUNC	VOID	0	0
221	a		248	24	TVAR	INT	0	0
222	b		252	24	TVAR	INT	0	0
223	c		256	24	TVAR	INT	0	0
224	tmp103		260	24	GTVAR	INT	0	0
225	tmp104		264	24	GTVAR	INT	0	0
226	tmp105		268	24	GTVAR	INT	0	0
227	tmp106		272	24	GTVAR	INT	0	0
228	tmp107		276	24	GTVAR	INT	0	0
229	tmp108		280	24	GTVAR	INT	0	0
230	tmp109		284	24	GTVAR	INT	0	0
231	tmp110		288	24	GTVAR	INT	0	0
232	tmp111		292	24	GTVAR	INT	0	0
233	tmp112		296	24	GTVAR	INT	0	0
234	tmp113		300	24	GTVAR	INT	0	0
235	tmp114		304	24	GTVAR	INT	0	0
236	tmp115		308	24	GTVAR	CHAR	0	0
237	tmp116		312	24	GTVAR	INT	0	0
238	tmp117		316	24	GTVAR	INT	0	0
239	end1518_23		320	24	MAINEND	VOID	0	0
